Year,Total Vaccinations (per hundred),Total Deaths (per million),Aged Over 65,Poor Cardiovascular Death Rate,Diabetes Prevalence,Male Smokers,Female Smokers
2021,2.22,490.01,16.984,105.599,7.37,16.6,12.0
2021,2.3,493.104,16.984,105.599,7.37,16.6,12.0
2021,2.36,496.849,16.984,105.599,7.37,16.6,12.0
2021,2.42,501.088,16.984,105.599,7.37,16.6,12.0
2021,2.48,504.469,16.984,105.599,7.37,16.6,12.0
2021,2.52,507.797,16.984,105.599,7.37,16.6,12.0
2021,2.53,511.308,16.984,105.599,7.37,16.6,12.0
2021,2.58,514.949,16.984,105.599,7.37,16.6,12.0
2021,2.61,517.263,16.984,105.599,7.37,16.6,12.0
2021,2.64,519.941,16.984,105.599,7.37,16.6,12.0
2021,2.7,521.58,16.984,105.599,7.37,16.6,12.0
2021,2.76,525.507,16.984,105.599,7.37,16.6,12.0
2021,2.81,529.563,16.984,105.599,7.37,16.6,12.0
2021,2.85,532.034,16.984,105.599,7.37,16.6,12.0
2021,2.91,534.4,16.984,105.599,7.37,16.6,12.0
2021,2.98,536.012,16.984,105.599,7.37,16.6,12.0
2021,3.05,537.755,16.984,105.599,7.37,16.6,12.0
2021,3.14,539.653,16.984,105.599,7.37,16.6,12.0
2021,3.24,542.072,16.984,105.599,7.37,16.6,12.0
2021,3.33,544.23,16.984,105.599,7.37,16.6,12.0
2021,3.37,546.128,16.984,105.599,7.37,16.6,12.0
2021,3.4,548.105,16.984,105.599,7.37,16.6,12.0
2021,3.47,549.873,16.984,105.599,7.37,16.6,12.0
2021,3.52,550.809,16.984,105.599,7.37,16.6,12.0
2021,3.59,552.11,16.984,105.599,7.37,16.6,12.0
2021,3.72,552.994,16.984,105.599,7.37,16.6,12.0
2021,3.86,554.684,16.984,105.599,7.37,16.6,12.0
2021,3.97,556.686,16.984,105.599,7.37,16.6,12.0
2021,4.13,558.065,16.984,105.599,7.37,16.6,12.0
2021,4.26,559.157,16.984,105.599,7.37,16.6,12.0
2021,4.38,560.405,16.984,105.599,7.37,16.6,12.0
2021,4.53,561.393,16.984,105.599,7.37,16.6,12.0
2021,4.71,562.511,16.984,105.599,7.37,16.6,12.0
2021,4.87,564.046,16.984,105.599,7.37,16.6,12.0
2021,4.99,565.294,16.984,105.599,7.37,16.6,12.0
2021,5.15,566.438,16.984,105.599,7.37,16.6,12.0
2021,5.34,567.322,16.984,105.599,7.37,16.6,12.0
2021,5.54,567.998,16.984,105.599,7.37,16.6,12.0
2021,5.75,568.727,16.984,105.599,7.37,16.6,12.0
2021,5.97,570.131,16.984,105.599,7.37,16.6,12.0
2021,6.17,571.301,16.984,105.599,7.37,16.6,12.0
2021,6.31,572.367,16.984,105.599,7.37,16.6,12.0
2021,6.54,573.017,16.984,105.599,7.37,16.6,12.0
2021,6.72,573.824,16.984,105.599,7.37,16.6,12.0
2021,6.93,574.526,16.984,105.599,7.37,16.6,12.0
2021,7.19,575.28,16.984,105.599,7.37,16.6,12.0
2021,7.48,576.034,16.984,105.599,7.37,16.6,12.0
2021,7.76,576.918,16.984,105.599,7.37,16.6,12.0
2021,8.0,577.75,16.984,105.599,7.37,16.6,12.0
2021,8.33,578.608,16.984,105.599,7.37,16.6,12.0
2021,8.64,579.441,16.984,105.599,7.37,16.6,12.0
2021,9.01,580.065,16.984,105.599,7.37,16.6,12.0
2021,9.42,580.637,16.984,105.599,7.37,16.6,12.0
2021,9.85,581.573,16.984,105.599,7.37,16.6,12.0
2021,10.2,582.431,16.984,105.599,7.37,16.6,12.0
2021,10.44,583.081,16.984,105.599,7.37,16.6,12.0
2021,10.82,583.757,16.984,105.599,7.37,16.6,12.0
2021,11.15,584.616,16.984,105.599,7.37,16.6,12.0
2021,11.6,585.656,16.984,105.599,7.37,16.6,12.0
2021,12.1,586.124,16.984,105.599,7.37,16.6,12.0
2021,12.67,586.748,16.984,105.599,7.37,16.6,12.0
2021,13.11,587.554,16.984,105.599,7.37,16.6,12.0
2021,13.5,588.464,16.984,105.599,7.37,16.6,12.0
2021,13.99,589.218,16.984,105.599,7.37,16.6,12.0
2021,14.44,589.921,16.984,105.599,7.37,16.6,12.0
2021,15.03,590.311,16.984,105.599,7.37,16.6,12.0
2021,15.57,590.987,16.984,105.599,7.37,16.6,12.0
2021,16.02,591.819,16.984,105.599,7.37,16.6,12.0
2021,16.53,592.911,16.984,105.599,7.37,16.6,12.0
2021,16.84,593.639,16.984,105.599,7.37,16.6,12.0
2021,17.32,594.107,16.984,105.599,7.37,16.6,12.0
2021,17.85,594.731,16.984,105.599,7.37,16.6,12.0
2021,18.46,595.798,16.984,105.599,7.37,16.6,12.0
2021,19.14,596.37,16.984,105.599,7.37,16.6,12.0
2021,19.93,597.15,16.984,105.599,7.37,16.6,12.0
2021,20.56,598.112,16.984,105.599,7.37,16.6,12.0
2021,21.04,599.074,16.984,105.599,7.37,16.6,12.0
2021,21.92,600.245,16.984,105.599,7.37,16.6,12.0
2021,22.63,601.051,16.984,105.599,7.37,16.6,12.0
2021,23.41,601.753,16.984,105.599,7.37,16.6,12.0
2021,24.21,602.663,16.984,105.599,7.37,16.6,12.0
2021,25.05,604.041,16.984,105.599,7.37,16.6,12.0
2021,25.72,605.419,16.984,105.599,7.37,16.6,12.0
2021,26.24,606.486,16.984,105.599,7.37,16.6,12.0
2021,26.92,607.786,16.984,105.599,7.37,16.6,12.0
2021,27.55,608.592,16.984,105.599,7.37,16.6,12.0
2021,28.38,609.762,16.984,105.599,7.37,16.6,12.0
2021,29.33,610.907,16.984,105.599,7.37,16.6,12.0
2021,30.28,612.311,16.984,105.599,7.37,16.6,12.0
2021,31.03,613.715,16.984,105.599,7.37,16.6,12.0
2021,31.64,615.145,16.984,105.599,7.37,16.6,12.0
2021,32.32,616.628,16.984,105.599,7.37,16.6,12.0
