Year,Total Vaccinations (per hundred),Total Deaths (per million),Hospitalized Patients (per million),ICU Patients (per million),Positive Rate
2020,0.03,362.69,94.58,18.229,0.0536
2020,0.05,366.383,95.1,18.229,0.0521
2020,0.07,368.437,94.294,18.255,0.0528
2020,0.09,370.179,93.279,18.177,0.0523
2020,0.12,372.598,88.547,18.047,0.0511
2020,0.13,376.993,92.161,18.203,0.0498
2020,0.13,380.945,98.689,18.515,0.0499
2020,0.14,383.156,101.107,19.114,0.0518
2020,0.15,387.499,104.67,19.348,0.0543
2020,0.19,390.203,110.989,20.18,0.0608
2020,0.21,393.142,111.327,20.622,0.0643
2020,0.25,397.198,109.689,20.466,0.0679
2021,0.27,399.643,108.596,20.232,0.0688
2021,0.29,403.024,114.109,20.622,0.069
2021,0.3,406.508,117.438,20.908,0.0735
2021,0.36,408.667,119.44,21.818,0.077
2021,0.41,409.707,121.417,22.156,0.0739
2021,0.48,415.09,121.209,22.052,0.0749
2021,0.58,419.147,121.651,22.052,0.0761
2021,0.69,422.683,120.585,22.364,0.0792
2021,0.78,428.118,121.911,22.26,0.0791
2021,0.84,431.421,126.41,22.494,0.0722
2021,0.94,434.958,128.204,22.91,0.0666
2021,1.02,438.156,127.944,23.092,0.0648
2021,1.1,441.173,128.152,23.482,0.0619
2021,1.21,444.969,126.67,23.248,0.0592
2021,1.34,448.844,124.251,23.118,0.0564
2021,1.44,452.849,122.717,22.91,0.0551
2021,1.51,457.842,124.277,22.832,0.0533
2021,1.62,461.795,123.445,22.702,0.0518
2021,1.72,465.877,120.481,22.78,0.0507
2021,1.84,467.958,118.686,22.364,0.0501
2021,1.95,471.702,116.294,22.078,0.0485
2021,2.05,476.773,114.499,22.78,0.0473
2021,2.12,480.856,111.093,22.702,0.0457
2021,2.16,486.213,111.457,22.702,0.0453
2021,2.22,490.01,109.324,22.104,0.0452
2021,2.3,493.104,106.1,22.234,0.0444
2021,2.36,496.849,103.993,21.662,0.0428
2021,2.42,501.088,102.225,21.922,0.0412
2021,2.48,504.469,97.18,21.116,0.0402
2021,2.52,507.797,96.27,20.96,0.0398
2021,2.53,511.308,95.75,20.778,0.0392
2021,2.58,514.949,91.173,20.05,0.0377
2021,2.61,517.263,92.681,19.738,0.0371
2021,2.64,519.941,89.249,19.14,0.0362
2021,2.7,521.58,86.232,18.906,0.0359
2021,2.76,525.507,82.748,18.437,0.0353
2021,2.81,529.563,81.135,18.645,0.0349
2021,2.85,532.034,82.097,18.515,0.034
2021,2.91,534.4,79.263,17.631,0.0334
2021,2.98,536.012,77.208,17.371,0.0327
2021,3.05,537.755,73.178,16.747,0.0327
2021,3.14,539.653,70.395,16.201,0.0317
2021,3.24,542.072,68.159,15.967,0.0306
2021,3.33,544.23,67.743,15.629,0.0301
2021,3.37,546.128,67.691,15.759,0.0298
2021,3.4,548.105,65.532,15.551,0.0277
2021,3.47,549.873,66.703,15.759,0.0289
2021,3.52,550.809,64.154,14.979,0.0281
2021,3.59,552.11,63.582,14.615,0.0292
2021,3.72,552.994,61.736,14.121,0.0294
2021,3.86,554.684,61.085,14.641,0.0291
2021,3.97,556.686,62.724,14.719,0.0296
2021,4.13,558.065,61.398,14.745,0.0321
2021,4.26,559.157,61.267,15.265,0.0308
2021,4.38,560.405,59.499,14.901,0.031
2021,4.53,561.393,58.771,14.823,0.0294
2021,4.71,562.511,56.977,14.407,0.0291
2021,4.87,564.046,57.289,14.797,0.0292
2021,4.99,565.294,57.445,14.667,0.0287
2021,5.15,566.438,56.821,15.005,0.0284
2021,5.34,567.322,55.962,14.563,0.0282
2021,5.54,567.998,55.936,14.511,0.0277
2021,5.75,568.727,54.948,14.225,0.0279
2021,5.97,570.131,54.558,14.095,0.0282
2021,6.17,571.301,54.532,13.887,0.0282
2021,6.31,572.367,55.65,14.147,0.0286
2021,6.54,573.017,53.96,14.407,0.0292
2021,6.72,573.824,55.65,14.329,0.0291
2021,6.93,574.526,54.662,14.199,0.0295
2021,7.19,575.28,55.052,14.199,0.0298
2021,7.48,576.034,54.428,13.965,0.0307
2021,7.76,576.918,55.494,14.043,0.0311
2021,8.0,577.75,57.549,14.615,0.0311
2021,8.33,578.608,56.795,14.433,0.0314
2021,8.64,579.441,57.003,15.343,0.0322
2021,9.01,580.065,57.757,15.187,0.0329
2021,9.42,580.637,58.017,15.291,0.0338
2021,9.85,581.573,58.797,15.083,0.0346
2021,10.2,582.431,59.811,15.187,0.0355
2021,10.44,583.081,60.149,15.369,0.0372
2021,10.82,583.757,62.724,16.175,0.038
2021,11.15,584.616,62.802,16.591,0.0387
2021,11.6,585.656,62.88,16.617,0.0402
2021,12.1,586.124,64.934,17.293,0.0414
2021,12.67,586.748,64.544,17.553,0.0424
2021,13.11,587.554,65.376,17.553,0.0433
2021,13.5,588.464,67.197,18.021,0.0432
2021,13.99,589.218,68.939,18.333,0.0454
2021,14.44,589.921,69.043,18.515,0.0463
2021,15.03,590.311,69.979,18.645,0.0474
2021,15.57,590.987,70.369,18.776,0.0484
2021,16.02,591.819,72.84,19.608,0.0468
2021,16.53,592.911,74.868,20.57,0.0484
2021,16.84,593.639,77.0,21.298,0.0485
2021,17.32,594.107,80.329,22.338,0.05
2021,17.85,594.731,81.707,22.26,0.0572
2021,18.46,595.798,83.346,23.326,0.0595
2021,19.14,596.37,85.01,23.898,0.0629
2021,19.93,597.15,87.714,24.965,0.068
2021,20.56,598.112,91.927,25.901,0.0691
2021,21.04,599.074,95.386,26.369,0.0713
2021,21.92,600.245,98.246,26.733,0.0724
2021,22.63,601.051,100.977,27.175,0.0671
2021,23.41,601.753,101.991,27.825,0.0672
2021,24.21,602.663,105.008,29.255,0.0674
2021,25.05,604.041,109.116,30.01,0.0655
2021,25.72,605.419,111.535,30.842,0.0653
2021,26.24,606.486,114.577,31.622,0.0654
2021,26.92,607.786,114.942,31.596,0.065
2021,27.55,608.592,117.49,32.792,0.0653
2021,28.38,609.762,117.022,33.624,0.0641
2021,29.33,610.907,116.632,34.014,0.0631
2021,30.28,612.311,115.93,34.691,0.0644
2021,31.03,613.715,117.594,34.899,0.0641
2021,31.64,615.145,118.634,35.549,0.0637
2021,32.32,616.628,118.218,35.497,0.0629
2021,33.01,617.746,117.438,35.445,0.0623
2021,33.7,618.734,115.124,35.887,0.0622
2021,34.5,619.904,113.953,35.913,0.0604
2021,35.23,621.178,112.731,36.043,0.0593
2021,35.84,622.661,114.083,36.069,0.0596
2021,36.29,623.961,115.436,35.913,0.0597
2021,36.88,625.001,112.601,35.991,0.0579
2021,37.5,625.963,109.897,35.757,0.0568
2021,38.24,626.952,108.31,35.003,0.0557
2021,39.18,628.356,105.19,34.326,0.0562
2021,40.22,629.812,102.927,34.066,0.0567
2021,41.08,630.774,102.433,33.806,0.0559
2021,41.79,631.84,103.915,33.468,0.0564
2021,42.67,633.141,100.769,33.312,0.0582
2021,43.46,634.753,101.185,32.74,0.0566
2021,44.37,635.793,99.495,32.818,0.0544
2021,45.4,636.599,99.105,32.974,0.053
2021,46.54,637.9,94.112,33.0,0.0517
2021,47.49,639.46,94.632,33.234,0.0508
2021,48.32,640.552,96.166,32.974,0.0497
2021,49.34,641.592,92.603,32.428,0.0463
2021,50.09,642.58,90.315,31.076,0.0467
2021,51.03,643.387,88.235,30.244,0.0475
2021,52.07,644.349,85.218,29.646,0.0462
2021,53.33,645.597,84.776,29.021,0.0451
2021,54.36,646.767,81.213,28.293,0.0443
2021,55.16,648.093,82.045,28.059,0.0438
2021,56.09,649.134,80.355,27.903,0.043
2021,56.76,649.81,78.119,27.565,0.0403
2021,57.6,650.876,75.934,26.733,0.0387
2021,58.63,652.176,72.346,26.005,0.0384
2021,59.82,653.086,68.575,24.965,0.0367
2021,60.73,654.335,67.119,24.445,0.035
2021,61.56,655.115,65.714,24.419,0.0337
2021,62.58,656.285,62.36,23.3,0.033
2021,63.4,657.195,61.137,22.598,0.0314
2021,64.3,657.897,57.835,21.064,0.0298
2021,65.38,658.391,54.584,20.05,0.0276
2021,66.58,659.588,52.946,19.322,0.0262
2021,67.57,660.394,52.66,18.932,0.0267
2021,68.41,661.226,51.698,18.463,0.0287
2021,69.48,662.318,50.215,17.891,0.023
2021,70.4,662.63,48.135,17.527,0.0233
